Time,Time Code,Country Name,Country Code,"Electricity production from renewable sources, excluding hydroelectric (kWh) [EG.ELC.RNWX.KH]",Access to electricity (% of population) [EG.ELC.ACCS.ZS],"Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]","Access to electricity, urban (% of urban population) [EG.ELC.ACCS.UR.ZS]",Electricity production from coal sources (% of total) [EG.ELC.COAL.ZS],Electricity production from hydroelectric sources (% of total) [EG.ELC.HYRO.ZS],Electricity production from natural gas sources (% of total) [EG.ELC.NGAS.ZS],Electricity production from nuclear sources (% of total) [EG.ELC.NUCL.ZS],Electricity production from oil sources (% of total) [EG.ELC.PETR.ZS],"Electricity production from oil, gas and coal sources (% of total) [EG.ELC.FOSL.ZS]","Electricity production from renewable sources, excluding hydroelectric (% of total) [EG.ELC.RNWX.ZS]",Renewable electricity output (% of total electricity output) [EG.ELC.RNEW.ZS],Time required to get electricity (days) [IC.ELC.TIME]
1996,YR1996,"Gambia, The",GMB,..,21.6046257019043,3.64728738337741,44.2215385437012,..,..,..,..,..,..,..,0,..
1996,YR1996,Georgia,GEO,0,..,..,..,0,83.4840684569361,10.3381104772506,0,6.17782106581327,16.5159315430639,0,83.4840684569361,..
1996,YR1996,Germany,DEU,4594000000,100,100,100,54.9605858821009,3.98717247966646,8.71959047814473,29.0573116321131,1.44654624825901,65.1267226085046,0.83422463777327,4.82139711743973,..
1996,YR1996,Ghana,GHA,0,36.2836074829102,8.17904242583275,76.9010848999023,0,99.9698204315678,0,0,0.0301795684321714,0.0301795684321714,0,99.9698204315678,..
1996,YR1996,Gibraltar,GIB,0,100,100,100,0,0,0,0,100,100,0,0,..
1996,YR1996,Greece,GRC,38000000,100,100,100,69.0811346113037,10.2520572492985,0.183914550470397,0,20.1221381245432,89.3871872863172,0.0895993963830138,10.3416566456815,..
1996,YR1996,Greenland,GRL,..,100,100,100,..,..,..,..,..,..,..,60.2150537634409,..
1996,YR1996,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,0,..
1996,YR1996,Guam,GUM,..,100,100,100,..,..,..,..,..,..,..,0,..
1996,YR1996,Guatemala,GTM,443000000,67.6789016723633,47.9653632269519,92.7800674438477,0,55.5028181548502,0,0,31.3556808068822,31.3556808068822,13.1415010382676,68.6443191931178,..
1996,YR1996,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,..,43.7898089171975,..
1996,YR1996,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,0,..
1996,YR1996,Guyana,GUY,..,71.9609527587891,66.0208586710263,86.4700698852539,..,..,..,..,..,..,..,0.726849832824539,..
1996,YR1996,Haiti,HTI,0,29.693675994873,8.80615025049682,71.7203826904297,0,44.9586776859504,0,0,55.0413223140496,55.0413223140496,0,44.9586776859504,..
